"","income","weights","Sex","Ethnicity","Father_Occ","Mother_Occ","Mother_Edu","Father_Edu","Birth_Area"
"117",13044.6375258392,110,0,2,4,2,4,6,4
"118",1330.84690301225,193,0,2,3,0,0,4,4
"119",10415.248709727,432,0,5,2,0,6,6,4
"120",8768.99937138952,74,0,3,3,2,6,6,4
"121",10556.696197452,101,1,2,4,0,3,6,4
"122",6816.7698220302,210,1,2,3,0,6,0,4
"123",12335.482465676,110,1,2,2,6,15,12,4
"124",893.110417243517,36,1,3,3,0,2,3,1
"125",19279.082147828,256,1,2,4,5,6,6,4
"126",6472.84654515822,342,1,2,3,0,0,0,4
"127",5566.8995660424,85,1,3,3,0,0,0,1
"128",8428.7082762198,154,0,2,3,3,0,0,4
"129",9731.60773140822,36,0,2,3,3,4,0,4
"130",1108.32072707025,292,0,2,4,4,0,4,4
"131",10714.1487161291,148,0,2,2,0,0,6,4
"132",6979.29144880669,366,1,1,3,3,6,6,4
"133",17123.085606901,444,0,2,4,0,6,6,4
"134",25104.1918763562,110,0,2,3,4,0,0,4
"135",10743.4717638576,176,1,4,2,6,3,0,4
"136",11472.8629216467,34,0,3,2,6,6,6,2
"137",17878.6232610991,432,1,1,4,4,12,12,4
"138",6663.11310119331,85,1,3,3,0,0,0,1
"139",7770.48427857564,298,0,2,3,0,3,2,3
"140",3029.38598950497,67,0,2,3,0,0,0,2
"141",11976.9986456108,25,0,2,3,0,6,6,4
"142",16503.2429770403,371,0,2,4,6,7,6,4
"143",10612.3597257478,366,1,2,3,0,6,6,4
"144",6261.74962180887,219,0,5,3,2,0,0,4
"145",22555.8543544405,365,0,2,4,0,6,6,4
"146",3779.09281465169,71,0,3,4,2,0,3,3
"147",1416.77049951345,71,0,3,2,2,0,0,4
"148",4302.88138840055,241,1,2,3,0,4,3,4
"149",8371.66834525597,190,0,2,4,0,6,6,4
"150",8157.00974106692,101,0,2,3,0,0,0,1
"151",4572.20610614007,366,0,3,3,0,0,0,4
"152",3623.40288130397,210,1,2,3,0,0,0,3
"153",4554.09062981503,75,0,2,3,0,0,0,3
"154",18503.635387105,79,0,2,4,4,6,6,4
"155",6774.3815010087,122,1,2,4,2,3,3,4
"156",11310.8107741483,113,0,4,4,3,6,1,4
"157",7821.91373706455,49,0,2,6,0,6,6,4
"158",2650.29183855824,64,0,2,3,2,4,0,4
"159",11256.9225833629,73,1,2,2,2,6,6,4
"160",2479.57995399923,174,0,2,3,0,0,3,4
"161",6740.0475959647,102,1,2,3,6,2,5,1
"162",11014.3518941384,139,0,2,2,0,6,12,1
"163",3928.12975800573,44,0,4,3,3,0,3,4
"164",20211.4999594053,25,1,2,4,4,15,15,3
"165",14854.5671832289,110,0,2,4,4,9,12,4
"166",3347.66438754031,83,0,2,3,0,0,0,4
"167",14401.2179682166,99,1,2,4,0,6,6,4
"168",32087.7413464683,63,1,2,4,0,6,6,4
"169",1525.40525333523,74,1,2,2,6,6,4,4
"170",7139.72830617669,212,1,2,2,6,6,11,4
"171",15653.3446556014,102,0,2,3,0,3,4,1
"172",1243.52238676054,35,1,2,3,0,3,0,1
"173",10493.0608163582,85,1,3,3,0,0,3,1
"174",10316.7437839381,133,0,2,3,2,6,6,4
"175",20110.7242952523,91,1,2,4,6,9,6,4
"176",6585.18123797401,142,0,5,3,0,2,6,4
"177",5060.37445263353,133,1,2,3,3,0,0,4
"178",12306.2277532135,110,1,2,3,3,6,6,4
"179",16984.6032467772,154,0,2,4,4,6,6,3
"180",6645.92259593528,23,0,2,3,3,0,0,2
"181",9144.01322643769,52,1,2,2,3,6,0,3
"182",8403.39195687385,139,0,3,6,6,0,0,1
"183",3221.14578569553,35,0,2,2,0,2,6,4
"184",13730.0948613868,162,0,2,3,0,0,6,4
"185",4735.72551121232,366,1,2,3,0,0,0,4
"186",2061.85398681076,25,0,2,3,0,1,1,4
"187",2811.03739832773,210,0,5,3,0,0,0,3
"188",6348.17848128855,113,0,2,3,0,6,6,4
"189",5169.73105275689,101,0,2,3,0,3,6,3
"190",22687.9105152599,387,0,2,2,0,6,8,4
"191",5999.23942687827,241,0,2,4,0,6,0,4
"192",18019.0285840091,82,0,2,1,2,4,3,4
"193",3598.22580348713,137,1,5,3,0,6,4,4
"194",4996.25164446731,110,0,5,3,2,2,4,3
"195",6376.07061851281,110,0,2,3,0,6,6,3
"196",10463.8383503477,110,1,2,2,2,12,15,4
"197",9743.39344986667,153,0,2,3,2,0,0,2
"198",4484.51570993296,23,1,3,3,2,0,0,2
"199",4144.17639874648,241,1,2,4,0,15,3,4
"200",14783.0071994522,387,0,2,4,6,6,6,4
"201",36324.4895275627,181,0,2,2,0,14,12,4
"202",8476.51819015784,123,0,2,3,3,6,6,4
"203",1025.18929924577,36,0,2,3,0,2,2,4
"204",9566.20222077759,71,1,3,3,3,0,0,2
"205",2341.96929966351,133,1,3,3,3,0,0,4
"206",8530.77082132491,298,1,2,3,2,0,1,4
"207",16802.2784410081,432,1,5,3,5,6,6,4
"208",1051.04280455133,123,1,2,3,0,0,6,4
"209",5537.77248509838,83,0,2,3,2,0,0,4
"210",7538.54402441219,219,0,1,2,0,6,6,4
"211",2267.24701963377,51,1,2,2,6,6,6,4
"212",1963.81167763234,139,0,2,4,2,0,6,4
"213",8695.91558482358,176,0,2,3,6,12,13,4
"214",7748.38276481426,292,0,2,4,0,11,9,4
"215",19062.8975708444,261,0,5,3,0,0,1,3
"216",16767.1571318639,51,1,2,4,2,3,7,4
"217",14846.3504489192,102,0,3,3,0,6,5,3
"218",23685.2132971008,125,0,2,4,0,6,6,1
"219",13558.3888677574,47,0,2,3,0,6,6,4
"220",4238.73355800073,101,1,2,4,0,0,3,4
"221",3161.32383371841,75,0,2,3,0,0,0,4
"222",4966.5656832655,101,0,2,4,0,2,4,1
"223",41585.2906367058,432,0,4,4,4,15,15,4
"224",5465.79748326329,193,0,2,2,0,7,6,4
"225",8421.35590548354,128,1,2,3,3,6,4,4
"226",4293.61313147154,113,0,4,4,4,6,6,1
"227",6409.10394858266,366,1,2,4,0,6,6,4
"228",4131.70888810314,122,0,3,3,0,3,0,4
"229",6514.37856608392,174,0,4,4,0,12,6,4
"230",5398.91159647261,425,0,2,3,0,0,0,4
"231",17183.3665409518,106,0,2,2,2,0,3,4
"232",8751.78275513494,41,0,2,3,0,6,6,4
"233",7458.30951807916,122,1,2,3,0,3,4,4
"234",10419.2223400838,177,0,2,3,0,2,2,4
"235",10795.589299416,432,1,2,2,2,4,6,4
"236",4936.05030866783,71,1,2,4,4,12,12,4
"237",2345.8522183137,432,0,1,4,0,6,7,4
"238",15093.5460105218,101,1,2,3,2,2,3,3
"239",927.320002491498,74,0,2,2,2,6,0,4
"240",1889.30018722145,36,1,5,3,0,6,6,3
"241",1588.53464742693,342,0,5,3,0,0,0,4
"242",9225.93411857783,123,0,3,3,3,0,0,3
"243",6845.78596213735,366,0,2,3,0,6,9,4
"244",2909.14704657817,51,0,2,3,0,2,0,4
"245",2508.19433051022,210,0,5,3,0,3,2,4
"246",11180.2247802309,366,1,2,2,5,6,15,4
"247",1369.2284149167,101,1,3,3,0,0,0,1
"248",19972.7800178052,139,1,4,4,4,13,6,4
"249",12214.1940933923,85,1,2,3,2,1,4,1
"250",13388.5860509862,79,0,2,2,0,3,4,4
"251",13827.0036253864,25,1,2,3,4,6,6,4
"252",5115.2527419044,123,0,2,3,3,3,6,3
"253",11671.7274795117,81,0,2,3,3,0,6,3
"254",15153.8408350636,57,1,2,3,6,6,6,4
"255",3427.18814492789,138,0,5,3,0,0,4,3
"256",3405.31968475887,45,1,3,3,3,0,0,4
"257",11870.7830597767,19,1,3,2,0,0,0,4
"258",3208.22063433322,102,0,2,3,0,0,0,1
"259",10420.7190685217,261,0,2,2,0,2,6,4
"260",13619.6282396342,425,1,2,4,0,6,12,4
"261",1412.57874039658,366,1,2,2,6,6,6,4
"262",19451.2788958521,122,1,2,4,0,6,6,4
"263",9442.28139875823,35,0,2,3,0,0,6,1
"264",2963.83053243194,102,0,2,3,0,0,3,1
"265",4378.20834936173,71,0,3,5,2,6,0,4
"266",2883.23498672482,61,1,2,4,4,6,0,4
"267",18564.530633865,153,1,2,3,0,0,0,4
"268",11125.8312880787,190,0,2,3,0,1,1,4
"269",4009.21246673602,110,0,2,3,0,0,0,4
"270",29953.3385979029,184,1,2,3,1,14,10,4
"271",1656.72693860609,104,1,3,3,3,0,0,4
"272",3952.39576371117,227,0,2,3,0,0,2,4
"273",1432.77793857358,35,0,2,3,0,0,6,1
"274",13480.8236003618,298,1,2,1,4,12,12,1
"275",2482.27170797304,51,1,2,3,0,6,6,2
"276",6167.15480378807,142,1,5,3,6,9,6,4
"277",6324.84486057832,432,1,5,3,5,0,3,4
"278",2059.6255651984,123,1,3,3,3,0,0,4
"279",14156.655570524,398,1,4,3,4,6,6,4
"280",15524.299608835,79,0,2,4,4,15,9,4
"281",2834.12487365026,256,1,2,3,0,0,0,4
"282",21603.5641651628,179,0,2,4,0,6,12,4
"283",15290.3495721854,366,1,2,3,0,2,2,4
"284",8675.66500994736,80,0,2,3,3,0,0,3
"285",52790.5231844486,110,1,2,1,4,15,15,4
"286",11214.4669076271,73,0,2,3,6,6,6,4
"287",2872.6396137461,91,0,1,3,0,0,0,4
"288",6509.3805760322,432,0,2,4,5,2,10,4
"289",8679.84653158212,142,0,2,3,0,3,0,4
"290",55227.7933096439,25,0,3,3,0,0,0,3
"291",5542.36183007599,210,1,2,3,0,0,0,4
"292",10207.1688125307,64,1,2,2,6,4,2,1
"293",62988.4777282928,344,0,2,4,6,15,15,3
"294",3749.95657036305,227,0,2,3,0,6,6,4
"295",1203.94966336938,33,1,3,2,6,5,3,2
"296",4775.37362661597,153,1,2,3,0,3,3,2
"297",20752.0991044413,61,0,2,4,4,12,6,4
"298",5288.85375212177,432,0,2,4,2,6,14,4
"299",8720.4677589237,13,0,2,2,0,6,6,4
"300",22991.2518987313,102,0,2,4,4,6,6,3
"301",20287.2743344392,1413,0,2,4,0,9,12,4
"302",4097.56012033923,91,1,2,2,0,6,6,4
"303",4442.32350764015,123,0,3,3,3,0,2,4
"304",3160.47635661256,36,1,2,3,0,0,0,1
"305",2088.0601521904,101,0,2,3,3,0,0,3
"306",12401.6862340716,102,0,2,4,0,0,3,4
"307",5200.86307292848,179,1,2,3,0,6,6,4
"308",6118.42498146527,105,1,2,3,4,5,5,4
"309",5485.53616056973,61,0,1,3,0,3,1,4
"310",5339.40152088941,432,0,4,3,5,6,5,4
"311",15167.3965348579,71,1,4,3,0,3,6,4
"312",1220.98009820925,55,1,2,2,0,5,3,4
"313",7307.2834000367,101,1,2,3,3,1,3,4
"314",46602.3173940465,110,0,2,2,6,0,0,4
"315",5428.77075256046,52,0,2,2,0,0,3,4
"316",11276.8376108552,90,1,2,3,2,3,6,4
"317",47468.8512805995,13,0,2,2,4,9,9,3
"318",23071.2691148027,61,1,2,5,5,6,6,4
"319",1605.2956271058,85,1,3,3,0,0,0,3
"320",2581.70398811283,342,1,1,3,0,3,6,4
"321",6995.86195513533,133,1,3,3,3,0,0,4
"322",20256.3702002563,63,0,2,4,0,6,6,4
"323",9348.9813391774,532,1,2,2,0,0,0,4
"324",13242.3997994868,101,0,2,4,4,12,15,4
"325",7096.7303630544,133,0,2,6,6,6,6,4
"326",8844.75519905792,172,0,2,6,6,6,6,4
"327",2785.46704475523,67,1,2,3,0,0,0,2
"328",1010.26520648855,14,0,3,3,3,0,0,4
"329",9086.71014244854,298,0,2,2,0,4,3,3
"330",11889.6972211791,73,0,2,3,4,6,0,1
"331",3559.88169251354,36,1,3,3,0,0,0,1
"332",3589.49305193019,130,0,2,2,0,2,6,4
"333",7755.14684318861,69,0,2,2,4,0,12,4
"334",44021.2866465135,125,1,2,2,0,12,12,3
"335",4052.32553067794,85,0,2,3,3,0,2,1
"336",25907.7871637779,164,1,2,4,0,12,12,4
"337",7866.0182582133,425,0,2,4,0,4,12,4
"338",13249.713425551,122,0,2,3,6,3,6,4
"339",1492.74816407452,25,1,2,5,3,3,6,4
"340",12768.0474497412,91,0,2,4,4,6,6,4
"341",8990.84858199713,99,1,2,4,2,15,15,4
"342",14001.5513360667,63,1,2,3,6,10,0,4
"343",879.677917952465,80,0,3,3,3,0,0,3
"344",8406.88986249935,153,0,2,4,2,4,9,4
"345",25769.4819457743,61,0,2,3,3,12,12,4
"346",2390.81977704799,193,0,5,3,0,0,1,3
"347",10163.2668757163,42,0,2,3,2,3,3,1
"348",25809.0718626628,63,0,2,3,3,12,12,4
"349",26171.1283762162,69,0,2,4,0,15,15,4
"350",6296.9755401658,33,0,3,3,0,6,6,2
"351",5416.89871924452,23,1,3,2,6,6,9,4
"352",6065.67042684182,74,1,2,3,0,3,0,4
"353",15512.5427692591,432,1,2,6,6,6,6,4
"354",7399.02609508097,79,1,2,3,0,2,2,4
"355",2441.29065406087,74,0,2,0,0,0,0,4
"356",3977.5510715629,74,0,2,2,6,6,2,4
"357",4610.97844029621,80,0,2,3,0,0,3,4
"358",14057.7982803416,425,0,1,0,2,9,12,4
"359",15024.527447784,153,1,2,3,0,3,2,4
"360",4200.17463837455,113,0,2,3,0,6,6,3
"361",16687.0978032327,342,0,4,2,0,6,6,4
"362",21104.162601014,13,0,2,4,0,4,6,3
"363",2916.62420599093,177,0,5,3,0,0,0,4
"364",7273.46561100836,61,0,2,3,4,6,6,4
"365",5113.75431169886,261,0,2,4,6,6,6,4
"366",12310.085951286,1413,1,1,4,0,6,6,4
"367",1279.71549855114,23,1,3,3,3,0,0,4
"368",8164.57371273431,101,0,2,2,3,2,6,2
"369",11124.371505593,133,0,2,3,5,6,6,4
"370",6802.77048320183,99,0,2,3,0,0,0,3
"371",3797.99984246424,179,1,5,3,0,2,0,3
"372",6362.20759213982,77,0,3,1,2,0,6,4
"373",4816.6733977852,77,0,4,2,0,6,6,3
"374",3271.69754629269,432,0,2,4,5,6,6,4
"375",3759.43902185808,113,0,2,3,0,3,0,3
"376",23133.024063934,69,1,2,2,0,6,6,4
"377",31306.4896158378,149,0,2,3,0,3,3,4
"378",4535.3868455361,153,0,5,4,0,0,3,4
"379",6021.18723181627,79,1,2,4,0,6,6,4
"380",5131.99570110494,342,0,2,3,0,5,2,4
"381",35090.5387423611,1413,0,2,4,4,12,15,4
"382",31519.0801902862,432,0,3,3,0,0,2,4
"383",2324.04237826891,81,1,3,2,6,0,4,2
"384",5615.07679229182,122,1,3,3,0,0,3,4
"385",5564.12191412831,139,0,2,3,3,4,1,1
"386",17225.4787257842,212,0,2,4,2,0,6,4
"387",11688.9474889393,164,0,3,4,0,6,6,4
"388",1990.59749980022,153,0,5,3,0,3,6,4
"389",32950.5158786405,142,0,2,3,0,3,4,4
"390",6736.77706052161,64,0,1,4,0,2,4,4
"391",15662.9014375738,85,0,3,4,2,0,4,1
"392",9679.1771926297,130,1,2,6,6,0,0,4
"393",8555.91854734078,241,1,2,4,4,9,12,4
"394",8703.27210772193,113,1,4,2,2,12,12,4
"395",7351.54651794306,73,1,2,3,0,0,0,4
"396",12392.9659535138,69,0,2,1,0,3,3,4
"397",69198.6960922941,458,0,2,2,0,15,15,3
"398",5495.05250343012,219,0,5,3,0,6,6,4
"399",8216.6702501407,176,0,4,4,4,12,15,4
"400",6170.0082067997,85,0,2,3,0,0,6,1
"401",3728.54643701882,81,1,2,3,0,0,0,3
"402",6834.54410995018,172,1,4,3,3,4,6,4
"403",8559.27420762326,101,0,2,2,0,0,6,3
"404",8640.76482069487,25,1,2,3,3,0,0,4
"405",10456.0131136842,33,0,2,2,2,6,6,4
"406",1772.04657206128,77,0,2,3,5,0,0,3
"407",25163.7373445524,484,0,2,4,4,12,12,4
"408",7185.21052757459,148,0,2,2,2,2,2,4
"409",18632.4524433303,51,1,2,3,2,6,6,4
"410",5561.26449184969,80,1,2,3,0,3,3,4
"411",6049.70793718308,179,1,2,3,0,5,5,3
"412",14588.3271685247,261,1,2,3,0,4,5,4
"413",31568.5030415942,153,0,2,2,2,6,6,3
"414",18214.5681376053,101,0,2,6,2,12,12,4
"415",11176.5744272078,73,1,5,3,0,3,0,4
"416",7459.1356714441,241,0,2,4,0,7,5,4
"417",5044.47784771973,75,1,2,3,0,3,2,3
"418",13662.6362641984,292,1,2,4,0,3,3,4
"419",7924.83575510306,137,1,2,2,0,6,12,4
"420",5636.9168747997,79,1,2,3,5,1,1,4
"421",3843.19407124327,42,0,2,4,0,0,3,4
"422",18897.1539442768,153,0,2,3,3,0,0,4
"423",18252.3411684573,35,0,2,3,0,6,6,4
"424",7194.7185204619,256,0,2,3,3,0,0,4
"425",18932.7677335964,125,0,2,6,2,12,9,3
"426",7165.04361174236,256,1,4,2,5,0,6,4
"427",8924.19969928281,44,1,3,3,3,0,0,4
"428",11910.4613798149,75,1,2,3,3,15,6,4
"429",16404.409832264,99,1,2,2,6,6,6,2
"430",13203.9176205542,510,0,2,2,0,0,6,4
"431",21656.2077765573,121,0,2,2,2,2,2,4
"432",11443.2397097642,123,0,2,3,3,0,0,2
"433",24302.8467826583,99,1,3,3,3,0,0,3
"434",7429.8815152544,153,1,5,0,2,0,6,3
"435",5127.71735366171,74,1,2,3,0,3,1,4
"436",3648.24071949043,85,1,3,3,0,0,0,3
"437",9584.24330393977,298,0,2,4,0,6,6,3
"438",9321.60127213919,153,0,2,2,0,2,3,4
"439",16464.1942729106,67,1,2,4,4,15,13,4
"440",8508.23787378308,117,0,5,4,5,9,12,4
"441",19751.6549647365,67,1,2,6,6,0,6,4
"442",76948.0550752398,432,0,2,6,6,0,5,4
"443",11147.7890938543,174,0,2,4,0,0,6,4
"444",7664.38914955294,122,0,2,3,3,6,6,4
"445",12331.9879963366,366,1,2,6,6,4,3,4
"446",16436.7269553961,99,0,2,3,0,0,0,4
"447",4247.91684905256,177,0,2,3,0,0,0,4
"448",12431.5776175737,197,1,2,2,0,6,6,4
"449",5710.22185111342,119,1,2,3,3,0,0,4
"450",8012.32702947057,179,1,2,3,0,6,4,3
"451",13905.6132224133,35,1,2,3,0,6,12,1
"452",7718.58095425564,102,1,2,1,4,9,6,1
"453",2682.91139010574,261,0,2,3,0,0,0,4
"454",7151.26497722314,71,0,2,3,0,6,6,3
"455",50604.8935115235,197,1,2,4,4,12,15,4
"456",1332.3216254723,14,0,3,3,3,0,1,4
"457",14892.2432743776,123,0,2,4,2,3,9,3
"458",30315.8550565297,101,0,1,4,0,12,15,4
"459",16913.1134876831,298,0,2,2,0,6,3,3
"460",10142.9975448153,41,0,2,3,0,6,10,4
"461",5434.6670888208,256,0,3,4,3,0,6,4
"462",5519.16300819511,102,1,2,4,0,4,6,2
"463",5794.7492404536,132,1,2,3,0,3,3,4
"464",16592.6126149653,212,1,2,2,4,9,6,4
"465",10770.0597026337,61,1,2,3,0,3,3,4
"466",29058.7354863485,176,0,2,4,4,15,15,4
"467",11827.6922734129,403,1,2,3,0,6,6,4
"468",4522.28428131538,110,0,2,3,0,6,6,3
"469",7423.15902733591,184,1,2,3,0,6,6,4
"470",8805.79991459332,48,1,2,4,2,6,15,4
"471",8571.46783854648,25,1,2,2,0,6,6,4
"472",8063.09410560376,1413,0,5,4,0,3,6,4
"473",12973.6118105852,137,1,2,3,0,4,4,4
"474",15455.0878322598,190,0,2,4,2,6,6,4
"475",6239.31198302637,123,1,2,6,2,3,0,2
"476",1712.12955714472,101,1,2,2,2,9,9,3
"477",4789.43203633789,133,0,2,3,0,6,6,4
"478",5455.8714111816,45,1,3,3,3,3,2,3
"479",5847.21748122755,179,1,4,3,3,2,3,4
"480",10671.6335476879,110,1,2,3,0,2,2,3
"481",6493.1298980748,99,1,3,3,2,2,7,3
"482",3924.23887728087,142,0,5,3,0,0,0,4
"483",10724.743538155,153,0,2,3,0,6,6,2
"484",32870.4271635009,99,1,2,2,4,15,15,4
"485",3510.80028953089,138,0,2,3,0,6,6,4
"486",9030.77066213636,52,0,3,3,0,3,3,4
"487",2872.84159588415,101,1,2,2,6,6,6,3
"488",4142.210534023,73,1,2,3,0,3,3,4
"489",9581.13849288614,184,1,2,3,0,3,4,4
"490",13896.1437758847,71,0,2,6,1,6,6,3
"491",3127.59513621123,101,1,4,3,0,0,0,3
"492",3206.47261315495,36,0,4,3,0,2,3,4
"493",20029.5221705018,139,0,2,4,2,9,9,4
"494",2950.04571705897,25,0,2,3,0,0,4,4
"495",7504.66669791203,138,1,2,3,0,0,0,4
"496",1833.12310155896,108,1,3,3,3,4,3,4
"497",14915.929144264,91,1,2,4,6,5,6,4
"498",681.278673847534,44,0,3,3,3,0,0,4
"499",3102.10060975429,63,1,2,2,0,3,3,4
"500",6754.34760601099,36,1,2,3,0,6,6,4
"501",6285.98282882195,104,0,3,3,3,0,0,4
"502",8394.30396312294,102,1,2,2,2,12,6,4
"503",4232.56295667544,79,0,2,3,0,12,6,4
"504",15241.5933587928,101,0,2,4,4,0,2,3
"505",10315.490325821,52,0,2,2,6,6,9,3
"506",7688.47878331899,122,0,2,3,0,0,0,4
"507",1094.7022900066,425,0,2,2,0,12,12,4
"508",15443.2348288025,122,1,2,3,0,0,0,4
"509",9571.63565058097,64,1,2,2,0,0,2,2
"510",11015.9210149186,44,1,3,3,0,6,6,4
"511",5800.60451459587,101,0,2,3,5,6,6,3
"512",5378.45700765056,256,0,2,3,0,0,6,4
"513",8478.37775061689,193,1,2,3,0,9,0,4
